NUTS 3 CODE,LAU CODE,LAU NAME NATIONAL,LAU NAME LATIN,CHANGE (Y/N),POPULATION,TOTAL AREA (m2),DEGURBA,DEG change compared to last year,COASTAL AREA (yes/no),COAST change compared to last year,CITY_ID,CITY_ID change compared to last year,CITY_NAME,GREATER_CITY_ID,GREATER_CITY_ID change compared to last year,GREATER_CITY_NAME,FUA_ID,FUA_ID change compared to last year,FUA_NAME
UKC11,E06000001,Hartlepool,,No,93019,98441700,1,No,,,UK053C1,No,Hartlepool,,,,UK559L2,No,Middlesbrough
UKC12,E06000002,Middlesbrough,,No,140639,54553700,1,No,,,UK559C1,No,Middlesbrough,,,,UK559L2,No,Middlesbrough
UKC12,E06000003,Redcar and Cleveland,,No,136005,253890800,2,No,,,,,,,,,UK559L2,No,Middlesbrough
UKC11,E06000004,Stockton-on-Tees,,No,196487,209731000,1,No,,,UK536C1,No,Stockton-on-Tees,,,,UK559L2,No,Middlesbrough
UKC13,E06000005,Darlington,,No,106347,197475800,1,No,,,UK044C1,No,Darlington,,,,,,
UKD71,E06000006,Halton,,No,127595,90321500,1,No,,,UK062C1,No,Halton,,,,,,
UKD61,E06000007,Warrington,,No,209704,182383400,1,No,,,UK531C1,No,Warrington,,,,,,
UKD41,E06000008,Blackburn with Darwen,,No,148772,137022000,1,No,,,UK557C1,No,Blackburn with Darwen,,,,UK557L1,No,Blackburn with Darwen
UKD42,E06000009,Blackpool,,No,139870,43150800,1,No,,,UK553C1,No,Blackpool,UK553K1,No,Blackpool,UK553L1,No,Blackpool
UKE11,E06000010,"Kingston upon Hull, City of",,No,260673,81497600,1,No,,,UK026C1,No,"Kingston upon Hull, City of",,,,UK026L1,No,Kingston upon Hull
UKE12,E06000011,East Riding of Yorkshire,,No,338061,2494795600,2,No,,,,,,,,,UK026L1,No,Kingston upon Hull
UKE13,E06000012,North East Lincolnshire,,No,159826,203553900,1,No,,,UK543C1,No,North East Lincolnshire,,,,,,
UKE13,E06000013,North Lincolnshire,,No,171294,875684700,2,No,,,,,,,,,,,
UKE21,E06000014,York,,No,208163,272014800,1,No,,,UK533C1,No,York,,,,,,
UKF11,E06000015,Derby,,No,257034,78031100,1,No,,,UK518C1,No,Derby,,,,UK518L1,No,Derby
UKF21,E06000016,Leicester,,No,353540,73342100,1,No,,,UK014C1,No,Leicester,UK014K1,No,Leicester,UK014L1,No,Leicester
UKF22,E06000017,Rutland,,No,39474,393749000,3,No,,,,,,,,,,,
UKF14,E06000018,Nottingham,,No,329209,74613500,1,No,,,UK029C1,No,Nottingham,UK029K1,No,Greater Nottingham,UK029L1,No,Greater Nottingham
UKG11,E06000019,"Herefordshire, County of",,No,191041,2179709400,3,No,,,,,,,,,,,
UKG21,E06000020,Telford and Wrekin,,No,175768,290313700,1,No,,,UK542C1,No,Telford and Wrekin,,,,,,
UKG23,E06000021,Stoke-on-Trent,,No,255378,93448500,1,No,,,UK027C1,No,Stoke-on-Trent,UK027K1,No,Stoke-on-Trent,UK027L1,No,Stoke-on-Trent
UKK12,E06000022,Bath and North East Somerset,,No,188678,351123400,1,No,,,UK031C1,No,Bath and North East Somerset,,,,,,
UKK11,E06000023,"Bristol, City of",,No,459252,235328500,1,No,,,UK011C1,No,"Bristol, City of",,,,UK011L2,No,Bristol
UKK12,E06000024,North Somerset,,No,212834,390815000,2,No,,,,,,,,,UK011L2,No,Bristol
UKK12,E06000025,South Gloucestershire,,No,279027,536645600,2,No,,,,,,,,,UK011L2,No,Bristol
UKK41,E06000026,Plymouth,,No,263070,84362900,1,No,,,UK516C1,No,Plymouth,,,,UK516L1,No,Plymouth
UKK42,E06000027,Torbay,,No,135247,119467100,1,No,,,UK561C1,No,Torbay,,,,,,
